request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_57,12819.59,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,4350267.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-25. No eligible option keeps the IDR 14,433,900 minimum protected."
request_59,132758.53,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,reduce_to:event_5537:3930,"With the listed spending changes, use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 132,600 available over the next 90 days."
request_60,117.62,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 2026-01-15. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. This leaves at least ZAR 36,700 available over the next 90 days."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,37534.99,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-17. No eligible option keeps the INR 153,500 minimum protected."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. No eligible option keeps the INR 36,100 minimum protected."
request_65,5886.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. No eligible option keeps the ZAR 15,500 minimum protected."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,300.77,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 2024-11-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1333.62,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,reduce_to:event_6331:24.80,"With the listed spending changes, use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500 available over the next 90 days."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,50476.8,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 2025-02-15. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,244128.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. No eligible option keeps the IDR 8,884,800 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,13211.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-12. No eligible option keeps the ZAR 39,000 minimum protected."
request_76,393.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. No eligible option keeps the USD 1,800 minimum protected."
request_77,60102.73,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"With the listed spending changes, pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,45918.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-14. No eligible option keeps the INR 55,200 minimum protected."
request_79,313.14,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-01. No eligible option keeps the EUR 1,000 minimum protected."
request_80,99868.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-21. No eligible option keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,313.89,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Pay USD 1,405.20 in full on 2025-01-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,7244.95,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. No eligible option keeps the INR 37,800 minimum protected."
request_84,27332.62,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 2026-06-15. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,392399.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. No eligible option keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,16918.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. No eligible option keeps the INR 185,900 minimum protected."
request_88,10735.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 25,800 available over the next 90 days."
request_89,9392480.17,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,reduce_to:event_8337:266760|reduce_to:event_8403:203300,"With the listed spending changes, use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This leaves at least IDR 12,534,700 available over the next 90 days."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,316.2,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,31979.25,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-14. No eligible option keeps the ZAR 28,100 minimum protected."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,4648.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. No eligible option keeps the INR 145,500 minimum protected."
request_96,72758.97,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,reduce_to:event_8980:1610,"With the listed spending changes, use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 56,500 available over the next 90 days."
request_97,1599.79,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 29,700 available over the next 90 days."
request_98,6553.27,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 2025-10-15. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17445.43,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"With the listed spending changes, pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,25169.04,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,stop:event_9267,"With the listed spending changes, use 3 installments of ZAR 12,866.19, starting 2024-06-13. This leaves at least ZAR 32,500 available over the next 90 days."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available over the next 90 days."
request_103,2146.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. No eligible option keeps the INR 125,500 minimum protected."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,51146.87,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"With the listed spending changes, pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,463.22,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2416.93,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,reduce_to:event_9959:42.50,"With the listed spending changes, use 3 installments of EUR 878.59, starting 2025-05-08. This leaves at least EUR 1,600 available over the next 90 days."
request_108,310.52,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-26. No eligible option keeps the ZAR 24,100 minimum protected."
request_109,472.91,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10080|stop:event_10081,"With the listed spending changes, use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700 available over the next 90 days."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 11,200 available over the next 90 days."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,19576.63,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 2026-10-15. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,54888.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-14. No eligible option keeps the INR 113,400 minimum protected."
request_115,14648.43,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,9179.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. No eligible option keeps the INR 80,300 minimum protected."
request_117,859.11,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"With the listed spending changes, pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,649.88,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available over the next 90 days."
request_119,59410.4,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,reduce_to:event_11057:2370,"With the listed spending changes, use 3 installments of INR 70,546.67, starting 2025-05-18. This leaves at least INR 151,200 available over the next 90 days."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 12,588,500 available over the next 90 days."
request_123,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-28. No eligible option keeps the IDR 18,091,200 minimum protected."
request_124,1392.45,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,reduce_to:event_11480:38,"With the listed spending changes, use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 1,600 available over the next 90 days."
request_125,5834.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-14. No eligible option keeps the ZAR 11,300 minimum protected."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,7420.91,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 2024-10-15. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,111.57,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. No eligible option keeps the USD 800 minimum protected.
request_130,373.31,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 2025-02-15. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1134.43,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-08. No eligible option keeps the USD 1,100 minimum protected."
request_132,261.98,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 2026-01-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,15770000,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-29. No eligible option keeps the IDR 9,986,200 minimum protected."
request_134,4461408.13,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 2025-10-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,283.19,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"With the listed spending changes, pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days."
request_136,528.5,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"With the listed spending changes, pay USD 560.40 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,24172.14,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. No eligible option keeps the INR 71,800 minimum protected."
request_138,887.51,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"Use 3 installments of EUR 435.74, starting 2026-04-07. This leaves at least EUR 2,300 available over the next 90 days."
request_139,1247.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-17. No eligible option keeps the USD 1,500 minimum protected."
request_140,1428.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. No eligible option keeps the ZAR 21,600 minimum protected."
request_141,18191.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-12. No eligible option keeps the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2501.34,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,27650.1,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"Use 3 installments of INR 75,365.33, starting 2024-03-20. This leaves at least INR 155,400 available over the next 90 days."
request_146,16037.09,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-17. No eligible option keeps the INR 108,600 minimum protected."
request_147,477.46,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 900 available over the next 90 days."
request_148,7127.02,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,stop:event_13593,"With the listed spending changes, use 3 installments of ZAR 7,710.56, starting 2024-06-14. This leaves at least ZAR 20,000 available over the next 90 days."
request_149,22401.22,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 42,100 available over the next 90 days."
request_150,255.75,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13786|reduce_to:event_13787:16,"With the listed spending changes, use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available over the next 90 days."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11084.9,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13958|reduce_to:event_14024:234.30,"With the listed spending changes, use 3 installments of ZAR 4,812.43, starting 2025-02-12. This leaves at least ZAR 11,900 available over the next 90 days."
request_153,15.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. No eligible option keeps the USD 1,400 minimum protected."
request_154,551.24,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-14. No eligible option keeps the EUR 1,300 minimum protected."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,10114.56,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4775248.01,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,199967.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-02. No eligible option keeps the INR 131,400 minimum protected."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. No eligible option keeps the ZAR 8,700 minimum protected."
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200 available over the next 90 days."
request_161,6906804.19,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1255094.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. No eligible option keeps the IDR 24,161,100 minimum protected."
request_163,8809583.38,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6,692,053.33, starting 2024-09-10. This leaves at least IDR 26,728,700 available over the next 90 days."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This leaves at least IDR 29,550,500 available over the next 90 days."
request_165,68752.32,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135|reduce_to:event_15173:1875,"With the listed spending changes, pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 1,700 available over the next 90 days."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,30444.55,affordable_with_plan,partial_payment,2026-01-07:30444.55|2026-02-15:18935.45,2026-02-15,none,"Pay INR 30,444.55 today and the remaining INR 18,935.45 on 2026-02-15. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,29866830.93,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. This leaves at least IDR 24,715,800 available over the next 90 days."
request_171,33.02,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. No eligible option keeps the EUR 500 minimum protected.
request_172,9077.61,affordable_with_plan,partial_payment,2024-06-05:9077.61|2024-06-15:1122.39,2024-06-15,none,"Pay ZAR 9,077.61 today and the remaining ZAR 1,122.39 on 2024-06-15. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,55371.35,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21. This leaves at least INR 79,100 available over the next 90 days."
request_174,1075.32,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,reduce_to:event_15976:16.80|reduce_to:event_16013:12.50,"With the listed spending changes, use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available over the next 90 days."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,305.58,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. No eligible option keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 1,400 available over the next 90 days."
request_179,6584779.78,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 2025-07-15. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,283.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. No eligible option keeps the USD 2,000 minimum protected."
